CNT,Country,SocioEcoStatus,Attitude,Discipline,ParentEducation,Cooperation,TeacherFeedback,TeacherEngagment,TeacherSupport,TruantDay,TruantClass,PositiveAffect,LearningTime,Bullying,ClassSize,ExtraCurSciClub,MaterialShortage,StaffShortage,StudentBehaviour,StudentTeacherRatio,TeacherQualification,TeacherBehaviour,GNI
ALB,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.43452833,47.55450695,NA,NA,11.49198296,8.33029988,NA,7.144611802,11800
ARE,United Arab Emirates,0.527899683,0.784880199,0.030938808,5.235790537,0.303506428,0.484793131,0.203071626,0.294152575,1.29310857,1.446399284,-0.095940034,1729.275563,0.295943742,30.08903613,82.26733267,-0.052038699,0.159176207,15.06648036,14.03556393,91.18381155,12.37183413,65220
AUS,Australia,0.194603345,0.277639162,-0.235741047,4.824681897,0.046809346,0.092327284,0.190130872,0.224880206,1.406003973,1.240237565,-0.158591208,1543.484353,0.452594161,25.14590832,38.28252749,-0.385617291,-0.348320254,19.02792619,13.1355292,93.4564113,13.57972044,46185.51338
AUT,Austria,0.101697204,-0.256223299,0.254796562,4.489775051,0.252839702,-0.20911387,-0.262657474,-0.463996696,1.147536232,1.225712624,0.442594777,1749.740479,0.097075415,24.18047796,5.022331652,-0.26585655,0.184287517,20.5238932,11.7310961,64.9419375,6.816222729,49463.58669
BEL,Belgium,0.186641314,-0.487696483,-0.141503214,4.982429665,-0.050790506,-0.17214398,-0.39471555,-0.249572605,1.096158068,1.15100375,0.025182379,1667.39709,0.183315236,19.73083781,5.653362567,0.112694832,0.23494214,22.04732177,9.1205820460000009,47.44999642,22.09928739,46868.13072
BGR,Bulgaria,-0.059316693,-0.054259769,-0.186712817,4.879441187,-0.027115609,0.39649072,0.222180217,0.067908112,1.655253623,1.691351253,-0.339874071,1460.03595,0.144023693,25.02117926,60.87546071,-0.25894149,-1.143843973,28.90451623,12.14063041,97.80150954,17.82025345,17770
BRA,Brazil,-0.975413553,0.126825221,-0.224345041,3.689788503,-0.049675976,0.157382217,0.075637516,0.396500154,1.577337637,1.5836166249999999,-0.160255826,1482.903202,-0.228735237,36.44326063,12.70107786,-0.048606808,-0.074384329,45.05072934,29.05240638,32.98548287,28.88331821,14496.0643
CAN,Canada,0.480087119,0.319281783,-0.004290772,5.267365053,0.083028702,0.209679149,0.236755955,0.260576283,1.245102648,1.366214099,-0.146649803,1618.325983,0.385819122,26.37828376,56.500229589999996,-0.461296348,-0.197264403,12.4811823,15.9418741,81.08069675,9.371917393,43987.07843
CHE,Switzerland,0.136791733,-0.402839723,0.054410604,4.590015655,0.144513492,-0.217329208,-0.10449073,-0.18331697,1.144998257,1.248120301,0.330444696,1512.285636,0.238284563,20.11325915,37.19580729,-0.380305594,-0.427691642,15.17833158,12.21519922,70.24425343,6.357537454,65356.74203
CHL,Chile,-0.148638595,0.3265211,-0.090991739,4.583612284,0.127811943,0.117420205,0.219430661,0.289825435,1.115834064,1.246732266,0.040752069,1915.814771,0.148215156,33.75527098,35.45340129,-0.322893483,-0.232547794,20.84680993,20.74285886,75.1737535,29.39795499,21912.66359
COL,Colombia,-0.823367018,0.514315486,-0.002764705,4.447129124,0.082959295,0.339092936,0.063213176,0.286013778,1.544992997,1.564095792,-0.315654098,1592.863173,0.163337928,35.9514407,34.78357965,0.637000374,0.466881287,22.88075659,28.45077408,82.37301042,12.07118461,13274.24599
CRI,Costa Rica,-0.788051265,0.496750988,0.127802459,4.199492689,0.343732903,0.06277857,0.209571829,0.433487226,1.486049677,1.560673012,-0.153175428,1902.245854,0.102273007,27.66055009,24.19803534,1.02832164,0.91089623,19.29803667,16.93470148,96.88407401,19.33502746,15914.66316
CZE,Czech Republic,-0.136840719,-0.281929612,-0.18662082,4.383323424,-0.18520018,-0.11531048,-0.166873878,-0.317588555,1.116634227,1.138238405,-0.238644049,1520.071248,0.148897916,23.9921902,47.12388632,-0.126897911,-0.437761093,29.24044178,13.3375636,66.3752976,4.085807412,31592.13213
DEU,Germany,0.138592522,-0.381814614,0.05478062,4.392626728,0.162739664,-0.285179009,-0.223743824,-0.376752701,1.121887287,1.208865515,0.298421399,1531.595575,0.172412777,25.02421879,48.40963708,0.055608193,0.411377076,20.04462585,14.66638974,72.34069859,9.724676759,48768.64555
DNK,Denmark,0.446890451,-0.088501628,0.006527122,4.909745214,0.001814844,-0.238073997,0.255130012,0.056269765,1.25648415,1.351047677,0.130865902,1650.208578,0.222467219,21.60530017,8.881648947,-0.21262312,-0.703577073,19.4957742,12.72022228,84.6970715,7.699784631,50577.64092
